measure 0,-,-,-,-,-,-
eighth.start.down.pos8,41,5,rest.quarter,41,3,False
accid.natural.pos7,41,6,barline.regular,41,3,False
eighth.continue.down.pos7,41,6,barline.return-to-top,41,3,False
eighth.continue.down.pos9,41,7,-,-,-,-
eighth.stop.down.pos8,41,8,-,-,-,-
barline.regular,41,8,-,-,-,-
dynamics.f,41,0,-,-,-,-
>,41,1,-,-,-,-
eighth.start.down.pos9,41,1,-,-,-,-
eighth.continue.down.pos10,41,2,-,-,-,-
accid.flat.pos12,41,3,-,-,-,-
eighth.continue.down.pos12,41,3,-,-,-,-
eighth.stop.down.pos11,41,4,-,-,-,-
eighth.start.down.pos10,41,5,-,-,-,-
eighth.continue.down.pos8,41,6,-,-,-,-
eighth.continue.down.pos10,41,7,-,-,-,-
eighth.stop.down.pos9,41,8,-,-,-,-
barline.regular,41,8,-,-,-,-
quarter.noBeam.up.pos-4,41,0,-,-,-,-
>,41,0,-,-,-,-
quarter.noBeam.up.pos0,41,0,-,-,-,-
rest.quarter,41,1,-,-,-,-
rest.half,41,2,-,-,-,-
barline.regular,41,2,-,-,-,-
barline.return-to-top,41,2,-,-,-,-
measure 42,-,-,-,-,-,-
eighth.noBeam.down.pos5,42,0,half.noBeam.down.pos8,42,0,False
quarter.noBeam.down.pos5,42,1,quarter.noBeam.down.pos5,42,1,False
quarter.noBeam.down.pos5,42,2,eighth.start.up.pos4,42,2,False
quarter.noBeam.down.pos5,42,3,eighth.stop.up.pos3,42,3,False
eighth.noBeam.down.pos5,42,4,barline.regular,42,3,False
barline.regular,42,4,half.noBeam.up.pos-2,42,0,False
accid.natural.pos7,42,0,>,42,0,False
eighth.start.down.pos7,42,0,half.noBeam.up.pos1,42,0,False
eighth.continue.down.pos2,42,1,duration.dot.pos-2,42,0,False
eighth.continue.down.pos4,42,2,>,42,0,False
accid.natural.pos3,42,3,duration.dot.pos2,42,0,False
eighth.stop.down.pos3,42,3,eighth.start.up.pos2,42,1,False
eighth.noBeam.up.pos2,42,4,eighth.stop.up.pos3,42,2,False
accid.natural.pos0,42,5,barline.regular,42,2,False
quarter.noBeam.up.pos0,42,5,accid.flat.pos12,42,0,False
eighth.noBeam.up.pos0,42,6,quarter.noBeam.down.pos12,42,0,False
barline.regular,42,6,duration.dot.pos12,42,0,False
eighth.noBeam.down.pos8,42,0,eighth.noBeam.down.pos11,42,1,False
rest.eighth,42,1,eighth.start.down.pos10,42,2,False
rest.quarter,42,2,eighth.continue.down.pos9,42,3,False
rest.eighth,42,3,eighth.continue.down.pos8,42,4,False
dynamics.mp,42,4,eighth.stop.down.pos7,42,5,False
>,42,5,barline.regular,42,5,False
accid.natural.pos6,42,5,whole.noBeam.up.pos1,42,0,False
eighth.start.down.pos6,42,5,>,42,0,False
accid.natural.pos9,42,6,whole.noBeam.down.pos6,42,0,False
eighth.continue.down.pos9,42,6,barline.regular,42,0,False
eighth.stop.down.pos8,42,7,barline.return-to-top,42,0,False
barline.regular,42,7,-,-,-,-
rest.eighth,42,0,-,-,-,-
dynamics.mp,42,1,-,-,-,-
>,42,2,-,-,-,-
accid.natural.pos12,42,2,-,-,-,-
eighth.start.down.pos12,42,2,-,-,-,-
eighth.continue.down.pos14,42,3,-,-,-,-
eighth.stop.down.pos13,42,4,-,-,-,-
eighth.start.down.pos12,42,5,-,-,-,-
eighth.continue.down.pos7,42,6,-,-,-,-
eighth.continue.down.pos10,42,7,-,-,-,-
eighth.stop.down.pos9,42,8,-,-,-,-
barline.regular,42,8,-,-,-,-
barline.return-to-top,42,8,-,-,-,-
measure 43,-,-,-,-,-,-
dynamics.p,43,0,quarter.noBeam.up.pos3,43,0,False
>,43,1,quarter.noBeam.up.pos2,43,1,False
quarter.noBeam.down.pos5,43,1,accid.flat.pos-1,43,2,False
rest.quarter,43,2,half.noBeam.up.pos-1,43,2,False
rest.eighth,43,3,barline.regular,43,2,False
eighth.start.up.pos1,43,4,accid.flat.pos-1,43,0,False
eighth.continue.up.pos1,43,5,half.noBeam.up.pos-1,43,0,False
eighth.stop.up.pos1,43,6,tie.start.pos-1,43,0,False
barline.regular,43,6,eighth.start.up.pos-1,43,1,False
dynamics.p,43,0,eighth.continue.up.pos2,43,2,False
>,43,1,accid.flat.pos6,43,3,False
quarter.noBeam.up.pos1,43,1,eighth.continue.up.pos6,43,3,False
rest.quarter,43,2,eighth.stop.up.pos4,43,4,False
rest.eighth,43,3,barline.regular,43,4,False
eighth.start.up.pos0,43,4,whole.noBeam.down.pos7,43,0,False
eighth.continue.up.pos0,43,5,tie.start.pos7,43,0,False
eighth.stop.up.pos0,43,6,barline.regular,43,0,False
barline.regular,43,6,rest.quarter,43,0,False
quarter.noBeam.down.pos14,43,0,quarter.noBeam.up.pos2,43,1,False
eighth.start.down.pos11,43,1,quarter.noBeam.up.pos2,43,2,False
duration.dot.pos12,43,1,rest.quarter,43,3,False
16th.stop.down.pos10,43,2,barline.regular,43,3,False
quarter.noBeam.down.pos10,43,3,barline.return-to-top,43,3,False
accid.natural.pos9,43,4,-,-,-,-
quarter.noBeam.down.pos9,43,4,-,-,-,-
barline.regular,43,4,-,-,-,-
dynamics.p,43,0,-,-,-,-
>,43,1,-,-,-,-
accid.natural.pos8,43,1,-,-,-,-
quarter.noBeam.down.pos8,43,1,-,-,-,-
rest.quarter,43,2,-,-,-,-
rest.eighth,43,3,-,-,-,-
eighth.start.down.pos10,43,4,-,-,-,-
eighth.continue.down.pos10,43,5,-,-,-,-
eighth.stop.down.pos10,43,6,-,-,-,-
barline.regular,43,6,-,-,-,-
barline.return-to-top,43,6,-,-,-,-
measure 44,-,-,-,-,-,-
quarter.noBeam.up.pos1,44,0,whole.noBeam.up.pos-2,44,0,False
rest.quarter,44,1,barline.regular,44,0,False
rest.eighth,44,2,quarter.noBeam.up.pos3,44,0,False
eighth.start.up.pos1,44,3,quarter.noBeam.up.pos2,44,1,False
eighth.continue.up.pos1,44,4,rest.eighth,44,2,False
eighth.stop.up.pos1,44,5,eighth.start.up.pos2,44,3,False
barline.regular,44,5,eighth.continue.up.pos2,44,4,False
quarter.noBeam.up.pos0,44,0,eighth.stop.up.pos3,44,5,False
rest.quarter,44,1,barline.regular,44,5,True
rest.eighth,44,2,whole.noBeam.down.pos7,44,0,True
eighth.start.up.pos-1,44,3,barline.regular,44,0,False
eighth.continue.up.pos-1,44,4,rest.quarter,44,0,False
eighth.stop.up.pos-1,44,5,quarter.noBeam.up.pos3,44,1,False
barline.regular,44,5,quarter.noBeam.up.pos3,44,2,False
eighth.start.down.pos12,44,0,rest.quarter,44,3,False
eighth.continue.down.pos11,44,1,barline.regular,44,3,False
eighth.continue.down.pos10,44,2,barline.return-to-top,44,3,False
accid.natural.pos9,44,3,-,-,-,-
eighth.stop.down.pos9,44,3,-,-,-,-
quarter.noBeam.down.pos9,44,4,-,-,-,-
quarter.noBeam.down.pos10,44,5,-,-,-,-
tie.start.pos10,44,5,-,-,-,-
barline.regular,44,5,-,-,-,-
quarter.noBeam.down.pos10,44,0,-,-,-,-
rest.quarter,44,1,-,-,-,-
rest.eighth,44,2,-,-,-,-
eighth.start.down.pos9,44,3,-,-,-,-
eighth.continue.down.pos9,44,4,-,-,-,-
eighth.stop.down.pos9,44,5,-,-,-,-
barline.regular,44,5,-,-,-,-
barline.return-to-top,44,5,-,-,-,-
measure 45,-,-,-,-,-,-
dynamics.mp,45,1,half.noBeam.up.pos-3,45,0,False
>,45,2,half.noBeam.up.pos-2,45,1,False
quarter.noBeam.down.pos11,45,2,tie.start.pos-2,45,1,False
eighth.start.down.pos8,45,3,barline.regular,45,1,False
duration.dot.pos8,45,3,quarter.noBeam.down.pos4,45,0,False
16th.stop.down.pos7,45,4,eighth.start.up.pos3,45,1,False
quarter.noBeam.down.pos7,45,5,eighth.stop.up.pos2,45,2,False
quarter.noBeam.down.pos6,45,6,quarter.noBeam.up.pos1,45,3,False
barline.regular,45,6,quarter.noBeam.up.pos2,45,4,False
quarter.noBeam.up.pos-1,45,2,barline.regular,45,4,False
rest.quarter,45,3,quarter.noBeam.up.pos0,45,0,False
rest.eighth,45,4,quarter.noBeam.up.pos1,45,1,False
eighth.start.up.pos1,45,5,quarter.noBeam.up.pos2,45,2,False
eighth.continue.up.pos1,45,6,accid.natural.pos-1,45,3,False
eighth.stop.up.pos1,45,7,quarter.noBeam.up.pos-1,45,3,False
barline.regular,45,7,barline.regular,45,3,False
dynamics.p,45,2,accid.flat.pos-3,45,0,False
>,45,3,half.noBeam.up.pos-3,45,0,False
tie.end.pos10,45,3,half.noBeam.up.pos-4,45,1,False
whole.noBeam.down.pos10,45,3,tie.start.pos-4,45,1,False
tie.start.pos10,45,3,barline.regular,45,1,False
barline.regular,45,3,barline.return-to-top,45,1,False
quarter.noBeam.down.pos8,45,2,-,-,-,-
rest.quarter,45,3,-,-,-,-
rest.eighth,45,4,-,-,-,-
eighth.start.down.pos8,45,5,-,-,-,-
eighth.continue.down.pos8,45,6,-,-,-,-
eighth.stop.down.pos8,45,7,-,-,-,-
barline.regular,45,7,-,-,-,-
barline.return-to-top,45,7,-,-,-,-
measure 46,-,-,-,-,-,-
eighth.start.down.pos11,46,0,quarter.noBeam.up.pos-2,46,0,False
eighth.continue.down.pos8,46,1,rest.quarter,46,1,False
eighth.continue.down.pos7,46,2,rest.eighth,46,2,False
eighth.stop.down.pos6,46,3,eighth.start.down.pos9,46,3,False
quarter.noBeam.down.pos6,46,4,eighth.continue.down.pos9,46,4,False
quarter.noBeam.down.pos7,46,5,eighth.stop.down.pos10,46,5,False
barline.regular,46,5,barline.regular,46,5,False
quarter.noBeam.up.pos1,46,0,quarter.noBeam.up.pos3,46,0,False
rest.quarter,46,1,rest.quarter,46,1,True
rest.eighth,46,2,half.noBeam.up.pos-3,46,2,False
eighth.start.up.pos0,46,3,tie.start.pos-3,46,2,False
eighth.continue.up.pos0,46,4,barline.regular,46,2,False
eighth.stop.up.pos0,46,5,quarter.noBeam.up.pos0,46,0,False
barline.regular,46,5,rest.quarter,46,1,False
half.noBeam.down.pos10,46,0,dynamics.p,46,2,True
half.noBeam.down.pos10,46,1,>,46,3,True
barline.regular,46,1,dynamics.p,46,3,False
quarter.noBeam.down.pos8,46,0,>,46,4,False
rest.quarter,46,1,half.noBeam.up.pos0,46,4,False
rest.eighth,46,2,tie.start.pos0,46,4,False
eighth.start.down.pos7,46,3,barline.regular,46,4,False
eighth.continue.down.pos7,46,4,quarter.noBeam.up.pos-4,46,0,False
eighth.stop.down.pos7,46,5,rest.quarter,46,1,False
barline.regular,46,5,dynamics.p,46,2,False
barline.return-to-top,46,5,>,46,3,False
-,-,-,accid.flat.pos4,46,3,False
-,-,-,half.noBeam.down.pos4,46,3,False
-,-,-,tie.start.pos4,46,3,False
-,-,-,barline.regular,46,3,False
-,-,-,barline.return-to-top,46,3,False
measure 47,-,-,-,-,-,-
quarter.noBeam.down.pos8,47,0,half.noBeam.down.pos11,47,0,False
quarter.noBeam.down.pos7,47,1,>,47,1,False
rest.eighth,47,2,acciaccatura.quarter.noBeam.up.pos12,47,1,True
eighth.noBeam.up.pos0,47,3,quarter.noBeam.down.pos10,47,2,False
>,47,3,quarter.noBeam.down.pos9,47,3,False
eighth.noBeam.up.pos4,47,3,barline.regular,47,3,False
eighth.noBeam.up.pos0,47,4,whole.noBeam.up.pos-3,47,0,False
>,47,4,barline.regular,47,0,False
eighth.noBeam.up.pos4,47,4,whole.noBeam.up.pos0,47,0,False
eighth.noBeam.up.pos0,47,5,barline.regular,47,0,False
>,47,5,whole.noBeam.up.pos4,47,0,False
eighth.noBeam.up.pos4,47,5,barline.regular,47,0,False
barline.regular,47,5,barline.return-to-top,47,0,False
rest.eighth,47,0,-,-,-,-
eighth.noBeam.up.pos0,47,1,-,-,-,-
>,47,1,-,-,-,-
eighth.noBeam.up.pos5,47,1,-,-,-,-
eighth.noBeam.up.pos0,47,2,-,-,-,-
>,47,2,-,-,-,-
eighth.noBeam.up.pos5,47,2,-,-,-,-
eighth.noBeam.up.pos0,47,3,-,-,-,-
>,47,3,-,-,-,-
eighth.noBeam.up.pos5,47,3,-,-,-,-
quarter.noBeam.down.pos8,47,4,-,-,-,-
quarter.noBeam.down.pos7,47,5,-,-,-,-
barline.regular,47,5,-,-,-,-
rest.half,47,0,-,-,-,-
>,47,1,-,-,-,-
half.noBeam.down.pos7,47,1,-,-,-,-
rest.quarter,47,2,-,-,-,-
>,47,3,-,-,-,-
half.noBeam.down.pos8,47,3,-,-,-,-
rest.quarter,47,4,-,-,-,-
barline.regular,47,4,-,-,-,-
rest.eighth,47,0,-,-,-,-
accid.natural.pos8,47,1,-,-,-,-
eighth.start.down.pos8,47,1,-,-,-,-
eighth.continue.down.pos8,47,2,-,-,-,-
eighth.stop.down.pos8,47,3,-,-,-,-
rest.eighth,47,4,-,-,-,-
eighth.start.down.pos9,47,5,-,-,-,-
eighth.continue.down.pos9,47,6,-,-,-,-
eighth.stop.down.pos9,47,7,-,-,-,-
barline.regular,47,7,-,-,-,-
barline.return-to-top,47,7,-,-,-,-
measure 48,-,-,-,-,-,-
quarter.noBeam.down.pos8,48,0,quarter.noBeam.down.pos8,48,0,False
quarter.noBeam.down.pos7,48,1,quarter.noBeam.down.pos5,48,1,False
rest.eighth,48,2,rest.eighth,48,2,False
eighth.noBeam.up.pos0,48,3,eighth.start.down.pos5,48,3,False
>,48,3,eighth.continue.down.pos5,48,4,False
eighth.noBeam.up.pos5,48,3,eighth.stop.down.pos6,48,5,False
eighth.noBeam.up.pos0,48,4,barline.regular,48,5,False
>,48,4,rest.eighth,48,0,False
eighth.noBeam.up.pos5,48,4,eighth.start.up.pos1,48,1,False
eighth.noBeam.up.pos0,48,5,eighth.continue.up.pos1,48,2,False
>,48,5,eighth.stop.up.pos2,48,3,False
eighth.noBeam.up.pos5,48,5,quarter.noBeam.up.pos3,48,4,False
barline.regular,48,5,eighth.start.up.pos2,48,5,False
rest.eighth,48,0,eighth.stop.up.pos1,48,6,False
accid.natural.pos3,48,1,barline.regular,48,6,False
eighth.noBeam.up.pos0,48,1,rest.eighth,48,0,False
>,48,1,eighth.start.up.pos2,48,1,True
eighth.noBeam.up.pos3,48,1,eighth.continue.up.pos2,48,2,True
eighth.noBeam.up.pos0,48,2,eighth.stop.up.pos3,48,3,True
>,48,2,quarter.noBeam.down.pos4,48,4,True
eighth.noBeam.up.pos3,48,2,eighth.start.up.pos3,48,5,True
eighth.noBeam.up.pos0,48,3,eighth.stop.up.pos2,48,6,True
>,48,3,barline.regular,48,6,False
eighth.noBeam.up.pos3,48,3,quarter.noBeam.up.pos-4,48,0,False
quarter.noBeam.down.pos8,48,4,rest.quarter,48,1,False
quarter.noBeam.down.pos7,48,5,rest.half,48,2,False
barline.regular,48,5,barline.regular,48,2,False
whole.noBeam.down.pos7,48,0,barline.return-to-top,48,2,False
tie.start.pos7,48,0,-,-,-,-
barline.regular,48,0,-,-,-,-
rest.eighth,48,0,-,-,-,-
eighth.start.down.pos10,48,1,-,-,-,-
eighth.continue.down.pos10,48,2,-,-,-,-
eighth.stop.down.pos10,48,3,-,-,-,-
rest.eighth,48,4,-,-,-,-
accid.natural.pos8,48,5,-,-,-,-
eighth.start.down.pos8,48,5,-,-,-,-
eighth.continue.down.pos8,48,6,-,-,-,-
eighth.stop.down.pos8,48,7,-,-,-,-
barline.regular,48,7,-,-,-,-
barline.return-to-top,48,7,-,-,-,-
measure 49,-,-,-,-,-,-
dynamics.f,49,0,quarter.noBeam.down.pos7,49,0,False
>,49,1,accid.flat.pos6,49,1,False
whole.noBeam.up.pos1,49,1,eighth.start.down.pos6,49,1,False
>,49,1,eighth.stop.down.pos5,49,2,False
whole.noBeam.up.pos4,49,1,rest.eighth,49,3,False
>,49,1,eighth.start.down.pos6,49,4,False
whole.noBeam.down.pos10,49,1,eighth.continue.down.pos6,49,5,False
barline.regular,49,1,eighth.stop.down.pos7,49,6,False
dynamics.f,49,0,barline.regular,49,6,False
>,49,1,rest.eighth,49,0,False
half.noBeam.down.pos6,49,1,eighth.start.up.pos1,49,1,False
tie.start.pos6,49,1,eighth.continue.up.pos2,49,2,False
eighth.start.up.pos6,49,2,accid.natural.pos3,49,3,False
dynamics.f,49,3,eighth.stop.up.pos3,49,3,False
>,49,4,quarter.noBeam.down.pos4,49,4,False
accid.natural.pos0,49,4,accid.flat.pos3,49,5,False
eighth.continue.up.pos0,49,4,eighth.start.up.pos3,49,5,False
eighth.continue.up.pos1,49,5,eighth.stop.up.pos2,49,6,False
eighth.stop.up.pos2,49,6,barline.regular,49,6,False
barline.regular,49,6,rest.eighth,49,0,False
dynamics.f,49,0,accid.natural.pos2,49,1,True
>,49,1,eighth.start.up.pos2,49,1,True
eighth.start.up.pos7,49,1,eighth.continue.up.pos3,49,2,True
eighth.continue.up.pos0,49,2,eighth.stop.up.pos4,49,3,True
eighth.continue.up.pos3,49,3,accid.flat.pos5,49,4,True
accid.sharp.pos4,49,4,quarter.noBeam.down.pos5,49,4,True
eighth.stop.up.pos4,49,4,eighth.start.up.pos4,49,5,True
dynamics.f,49,5,eighth.stop.up.pos3,49,6,True
>,49,6,barline.regular,49,6,False
half.noBeam.down.pos5,49,6,quarter.noBeam.up.pos-4,49,0,False
barline.regular,49,6,rest.quarter,49,1,False
dynamics.f,49,0,rest.half,49,2,False
>,49,1,barline.regular,49,2,False
whole.noBeam.down.pos9,49,1,barline.return-to-top,49,2,False
tie.start.pos9,49,1,-,-,-,-
barline.regular,49,1,-,-,-,-
barline.return-to-top,49,1,-,-,-,-
measure 50,-,-,-,-,-,-
rest.eighth,50,0,quarter.noBeam.down.pos8,50,0,False
dynamics.f,50,1,eighth.start.down.pos7,50,1,False
>,50,2,accid.flat.pos6,50,2,False
eighth.start.down.pos6,50,2,eighth.stop.down.pos6,50,2,False
eighth.continue.down.pos8,50,3,rest.eighth,50,3,False
eighth.stop.down.pos10,50,4,eighth.start.down.pos7,50,4,False
eighth.start.down.pos12,50,5,eighth.continue.down.pos7,50,5,False
eighth.continue.down.pos10,50,6,eighth.stop.down.pos8,50,6,False
eighth.continue.down.pos9,50,7,barline.regular,50,6,False
eighth.stop.down.pos8,50,8,rest.eighth,50,0,False
barline.regular,50,8,eighth.start.up.pos2,50,1,False
dynamics.f,50,0,eighth.continue.up.pos3,50,2,False
>,50,1,eighth.stop.up.pos4,50,3,False
half.noBeam.up.pos3,50,1,quarter.noBeam.down.pos5,50,4,False
half.noBeam.down.pos6,50,2,eighth.start.up.pos4,50,5,False
barline.regular,50,2,accid.natural.pos3,50,6,False
half.noBeam.down.pos7,50,0,eighth.stop.up.pos3,50,6,False
half.noBeam.down.pos9,50,1,barline.regular,50,6,False
barline.regular,50,1,rest.eighth,50,0,False
half.noBeam.down.pos9,50,0,eighth.start.down.pos3,50,1,True
half.noBeam.up.pos2,50,1,eighth.continue.down.pos4,50,2,True
barline.regular,50,1,accid.flat.pos5,50,3,True
barline.return-to-top,50,1,eighth.stop.down.pos5,50,3,True
-,-,-,quarter.noBeam.down.pos6,50,4,True
-,-,-,eighth.start.down.pos5,50,5,True
-,-,-,eighth.stop.down.pos4,50,6,True
-,-,-,barline.regular,50,6,False
-,-,-,quarter.noBeam.up.pos-4,50,0,False
-,-,-,rest.quarter,50,1,False
-,-,-,rest.half,50,2,False
-,-,-,barline.regular,50,2,False
-,-,-,barline.return-to-top,50,2,False
measure 51,-,-,-,-,-,-
half.noBeam.down.pos8,51,0,accid.flat.pos9,51,0,False
accid.natural.pos7,51,1,quarter.noBeam.down.pos9,51,0,False
quarter.noBeam.down.pos7,51,1,eighth.start.down.pos8,51,1,False
rest.quarter,51,2,eighth.stop.down.pos7,51,2,True
barline.regular,51,2,quarter.noBeam.down.pos10,51,3,False
half.noBeam.down.pos4,51,0,accid.natural.pos9,51,4,False
rest.eighth,51,1,eighth.start.down.pos9,51,4,False
accid.sharp.pos-1,51,2,eighth.stop.down.pos8,51,5,False
eighth.start.up.pos-1,51,2,barline.regular,51,5,False
accid.natural.pos0,51,3,rest.eighth,51,0,False
eighth.continue.up.pos0,51,3,accid.natural.pos3,51,1,False
accid.sharp.pos1,51,4,eighth.start.down.pos3,51,1,False
eighth.stop.up.pos1,51,4,eighth.continue.down.pos4,51,2,False
barline.regular,51,4,eighth.stop.down.pos5,51,3,False
eighth.start.down.pos8,51,0,rest.eighth,51,4,False
accid.sharp.pos0,51,1,accid.natural.pos4,51,5,False
eighth.continue.down.pos0,51,1,eighth.start.down.pos4,51,5,False
eighth.continue.down.pos1,51,2,eighth.continue.down.pos5,51,6,False
accid.natural.pos2,51,3,eighth.stop.down.pos6,51,7,False
eighth.stop.down.pos2,51,3,barline.regular,51,7,False
half.noBeam.up.pos3,51,4,rest.eighth,51,0,False
tie.start.pos3,51,4,eighth.start.down.pos4,51,1,True
barline.regular,51,4,eighth.continue.down.pos5,51,2,True
whole.noBeam.up.pos3,51,0,eighth.stop.down.pos6,51,3,True
tie.start.pos3,51,0,rest.eighth,51,4,False
barline.regular,51,0,eighth.start.down.pos5,51,5,False
barline.return-to-top,51,0,accid.natural.pos6,51,6,False
-,-,-,eighth.continue.down.pos6,51,6,False
-,-,-,eighth.stop.down.pos7,51,7,False
-,-,-,barline.regular,51,7,False
-,-,-,quarter.noBeam.up.pos-4,51,0,False
-,-,-,rest.quarter,51,1,False
-,-,-,quarter.noBeam.up.pos-4,51,2,False
-,-,-,rest.quarter,51,3,False
-,-,-,barline.regular,51,3,False
-,-,-,barline.return-to-top,51,3,False
measure 52,-,-,-,-,-,-
rest.eighth,52,0,quarter.noBeam.down.pos11,52,0,False
accid.natural.pos7,52,1,eighth.start.down.pos10,52,1,False
eighth.start.down.pos7,52,1,eighth.stop.down.pos9,52,2,False
eighth.continue.down.pos9,52,2,dynamics.f,52,3,False
eighth.stop.down.pos11,52,3,>,52,4,False
accid.flat.pos13,52,4,accid.natural.pos11,52,4,False
eighth.start.down.pos13,52,4,quarter.noBeam.down.pos11,52,4,False
eighth.continue.down.pos11,52,5,duration.dot.pos12,52,4,False
eighth.continue.down.pos10,52,6,eighth.noBeam.down.pos11,52,5,False
eighth.stop.down.pos9,52,7,barline.regular,52,5,False
barline.regular,52,7,rest.eighth,52,0,False
half.noBeam.up.pos2,52,0,eighth.start.down.pos5,52,1,False
accid.natural.pos7,52,1,eighth.continue.down.pos6,52,2,False
half.noBeam.down.pos4,52,1,accid.natural.pos7,52,3,False
>,52,1,eighth.stop.down.pos7,52,3,False
half.noBeam.down.pos7,52,1,dynamics.f,52,4,True
barline.regular,52,1,>,52,5,True
half.noBeam.up.pos3,52,0,eighth.start.down.pos6,52,5,False
half.noBeam.up.pos-3,52,1,eighth.continue.down.pos8,52,6,False
>,52,1,eighth.continue.down.pos7,52,7,False
half.noBeam.up.pos1,52,1,eighth.stop.down.pos6,52,8,False
barline.regular,52,1,barline.regular,52,8,False
half.noBeam.up.pos3,52,0,rest.eighth,52,0,False
half.noBeam.up.pos-4,52,1,accid.natural.pos6,52,1,False
barline.regular,52,1,eighth.start.down.pos6,52,1,False
barline.return-to-top,52,1,eighth.continue.down.pos7,52,2,False
-,-,-,eighth.stop.down.pos8,52,3,False
-,-,-,dynamics.f,52,4,True
-,-,-,>,52,5,True
-,-,-,eighth.start.down.pos7,52,5,False
-,-,-,eighth.continue.down.pos9,52,6,False
-,-,-,eighth.continue.down.pos8,52,7,False
-,-,-,eighth.stop.down.pos7,52,8,False
-,-,-,barline.regular,52,8,False
-,-,-,quarter.noBeam.up.pos-4,52,0,False
-,-,-,rest.quarter,52,1,False
-,-,-,dynamics.f,52,2,False
-,-,-,>,52,3,True
-,-,-,quarter.noBeam.up.pos-4,52,3,False
-,-,-,>,52,3,False
-,-,-,quarter.noBeam.up.pos1,52,3,False
-,-,-,duration.dot.pos-4,52,3,False
-,-,-,>,52,3,False
-,-,-,duration.dot.pos2,52,3,False
-,-,-,eighth.noBeam.up.pos-4,52,4,False
-,-,-,>,52,4,False
-,-,-,eighth.noBeam.up.pos1,52,4,False
-,-,-,barline.regular,52,4,False
-,-,-,barline.return-to-top,52,4,True
measure 53,-,-,-,-,-,-
half.noBeam.down.pos9,53,1,eighth.start.down.pos12,53,0,False
accid.sharp.pos8,53,2,accid.natural.pos7,53,1,False
quarter.noBeam.down.pos8,53,2,eighth.continue.down.pos7,53,1,False
rest.quarter,53,3,eighth.continue.down.pos9,53,2,False
barline.regular,53,3,eighth.stop.down.pos8,53,3,False
half.noBeam.up.pos-1,53,2,eighth.noBeam.down.pos7,53,4,False
>,53,2,quarter.noBeam.down.pos5,53,5,False
half.noBeam.up.pos5,53,2,eighth.noBeam.down.pos5,53,6,False
rest.eighth,53,3,tie.start.pos5,53,6,False
accid.sharp.pos-5,53,4,barline.regular,53,6,True
eighth.start.up.pos-5,53,4,accid.natural.pos7,53,0,False
accid.natural.pos-4,53,5,eighth.start.down.pos7,53,0,False
eighth.continue.up.pos-4,53,5,eighth.continue.down.pos9,53,1,False
accid.sharp.pos-2,53,6,eighth.continue.down.pos11,53,2,False
eighth.stop.up.pos-2,53,6,eighth.stop.down.pos10,53,3,True
barline.regular,53,6,eighth.start.down.pos9,53,4,True
rest.eighth,53,2,eighth.continue.down.pos7,53,5,False
accid.sharp.pos-3,53,3,eighth.continue.down.pos9,53,6,False
eighth.start.up.pos-3,53,3,eighth.stop.down.pos8,53,7,False
eighth.continue.up.pos-2,53,4,barline.regular,53,7,True
accid.sharp.pos1,53,5,eighth.start.down.pos8,53,0,True
eighth.stop.up.pos1,53,5,eighth.continue.down.pos10,53,1,False
accid.natural.pos2,53,6,accid.flat.pos12,53,2,False
half.noBeam.up.pos2,53,6,eighth.continue.down.pos12,53,2,False
tie.start.pos2,53,6,eighth.stop.down.pos11,53,3,False
barline.regular,53,6,eighth.start.down.pos10,53,4,False
whole.noBeam.up.pos-3,53,2,eighth.continue.down.pos8,53,5,False
tie.start.pos-3,53,2,eighth.continue.down.pos10,53,6,False
barline.regular,53,2,eighth.stop.down.pos9,53,7,False
barline.return-to-top,53,2,barline.regular,53,7,False
-,-,-,quarter.noBeam.up.pos-4,53,0,False
-,-,-,>,53,0,False
-,-,-,quarter.noBeam.up.pos0,53,0,False
-,-,-,rest.quarter,53,1,False
-,-,-,rest.half,53,2,False
-,-,-,barline.regular,53,2,False
-,-,-,barline.return-to-top,53,2,False
measure 54,-,-,-,-,-,-
rest.eighth,54,0,eighth.noBeam.down.pos5,54,0,False
dynamics.p,54,1,quarter.noBeam.down.pos5,54,1,False
>,54,2,quarter.noBeam.down.pos5,54,2,False
accid.sharp.pos8,54,2,quarter.noBeam.down.pos5,54,3,False
eighth.start.down.pos8,54,2,eighth.noBeam.down.pos5,54,4,False
accid.natural.pos10,54,3,barline.regular,54,4,False
eighth.continue.down.pos10,54,3,accid.natural.pos7,54,0,False
eighth.stop.down.pos12,54,4,eighth.start.down.pos7,54,0,False
eighth.start.down.pos14,54,5,eighth.continue.down.pos2,54,1,False
eighth.continue.down.pos12,54,6,eighth.continue.down.pos4,54,2,False
eighth.continue.down.pos11,54,7,accid.natural.pos3,54,3,False
eighth.stop.down.pos10,54,8,eighth.stop.down.pos3,54,3,False
barline.regular,54,8,eighth.noBeam.up.pos2,54,4,False
half.noBeam.up.pos-1,54,0,accid.natural.pos0,54,5,False
dynamics.p,54,1,quarter.noBeam.up.pos0,54,5,False
>,54,2,eighth.noBeam.up.pos0,54,6,False
half.noBeam.down.pos5,54,2,barline.regular,54,6,False
barline.regular,54,2,eighth.noBeam.down.pos8,54,0,False
half.noBeam.up.pos2,54,0,rest.eighth,54,1,False
dynamics.p,54,1,rest.quarter,54,2,False
>,54,2,rest.eighth,54,3,True
accid.sharp.pos7,54,2,accid.natural.pos6,54,4,False
