"Step","lstut_seqlen_1_(2023.08.19.15.36)_lstm512-1-tf112-6-64-2048 batch_size-1536 seq_length-64 - val/loss","lstut_seqlen_1_(2023.08.19.15.36)_lstm512-1-tf112-6-64-2048 batch_size-1536 seq_length-64 - val/loss__MIN","lstut_seqlen_1_(2023.08.19.15.36)_lstm512-1-tf112-6-64-2048 batch_size-1536 seq_length-64 - val/loss__MAX","lstut_seqlen_2_(2023.08.19.10.10)_lstm512-1-tf112-6-64-2048 batch_size-768 seq_length-128 - val/loss","lstut_seqlen_2_(2023.08.19.10.10)_lstm512-1-tf112-6-64-2048 batch_size-768 seq_length-128 - val/loss__MIN","lstut_seqlen_2_(2023.08.19.10.10)_lstm512-1-tf112-6-64-2048 batch_size-768 seq_length-128 - val/loss__MAX","lstut_seqlen_3_(2023.08.19.04.51)_lstm512-1-tf112-6-64-2048 batch_size-384 seq_length-256 - val/loss","lstut_seqlen_3_(2023.08.19.04.51)_lstm512-1-tf112-6-64-2048 batch_size-384 seq_length-256 - val/loss__MIN","lstut_seqlen_3_(2023.08.19.04.51)_lstm512-1-tf112-6-64-2048 batch_size-384 seq_length-256 - val/loss__MAX","lstut_seqlen_7_(2023.08.19.02.19)_lstm512-1-tf112-6-64-2048 batch_size-16 max_time_hours-12 seq_length-4096 - val/loss","lstut_seqlen_7_(2023.08.19.02.19)_lstm512-1-tf112-6-64-2048 batch_size-16 max_time_hours-12 seq_length-4096 - val/loss__MIN","lstut_seqlen_7_(2023.08.19.02.19)_lstm512-1-tf112-6-64-2048 batch_size-16 max_time_hours-12 seq_length-4096 - val/loss__MAX","lstut_seqlen_4_(2023.08.18.23.07)_lstm512-1-tf112-6-64-2048 batch_size-192 seq_length-512 - val/loss","lstut_seqlen_4_(2023.08.18.23.07)_lstm512-1-tf112-6-64-2048 batch_size-192 seq_length-512 - val/loss__MIN","lstut_seqlen_4_(2023.08.18.23.07)_lstm512-1-tf112-6-64-2048 batch_size-192 seq_length-512 - val/loss__MAX","lstut_seqlen_6_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-32 max_time_hours-12 seq_length-2048 - val/loss","lstut_seqlen_6_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-32 max_time_hours-12 seq_length-2048 - val/loss__MIN","lstut_seqlen_6_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-32 max_time_hours-12 seq_length-2048 - val/loss__MAX","lstut_seqlen_5_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-96 seq_length-1024 - val/loss","lstut_seqlen_5_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-96 seq_length-1024 - val/loss__MIN","lstut_seqlen_5_(2023.08.18.16.03)_lstm512-1-tf112-6-64-2048 batch_size-96 seq_length-1024 - val/loss__MAX"
"0","0.0000052080453974119335","0.0000052080453974119335","0.0000052080453974119335","0.000005866012301449383","0.000005866012301449383","0.000005866012301449383","0.000005084730124817259","0.000005084730124817259","0.000005084730124817259","0.000008114892798998158","0.000008114892798998158","0.000008114892798998158","0.000005204754415899515","0.000005204754415899515","0.000005204754415899515","0.000009949995607812192","0.000009949995607812192","0.000009949995607812192","0.0000063060177555979565","0.0000063060177555979565","0.0000063060177555979565"
"1","0.000003780272946545332","0.000003780272946545332","0.000003780272946545332","0.0000041337543935002206","0.0000041337543935002206","0.0000041337543935002206","0.000004124590968046426","0.000004124590968046426","0.000004124590968046426","0.000009317532297067136","0.000009317532297067136","0.000009317532297067136","0.000003747873044621264","0.000003747873044621264","0.000003747873044621264","0.000006127643841396138","0.000006127643841396138","0.000006127643841396138","0.000004148093046280628","0.000004148093046280628","0.000004148093046280628"
"2","0.0000033803875957637402","0.0000033803875957637402","0.0000033803875957637402","0.000004076462448894159","0.000004076462448894159","0.000004076462448894159","0.000003135744780953702","0.000003135744780953702","0.000003135744780953702","0.000005311356102895409","0.000005311356102895409","0.000005311356102895409","0.0000029623870055834066","0.0000029623870055834066","0.0000029623870055834066","0.000004680131137002866","0.000004680131137002866","0.000004680131137002866","0.0000031056138044657894","0.0000031056138044657894","0.0000031056138044657894"
"3","0.000002836516902540078","0.000002836516902540078","0.000002836516902540078","0.000002992838721316899","0.000002992838721316899","0.000002992838721316899","0.000002824698615871107","0.000002824698615871107","0.000002824698615871107","0.000004722704646062263","0.000004722704646062263","0.000004722704646062263","0.0000026048688882917106","0.0000026048688882917106","0.0000026048688882917106","0.000004237190441443489","0.000004237190441443489","0.000004237190441443489","0.000002782281980187207","0.000002782281980187207","0.000002782281980187207"
"4","0.0000026196091682213764","0.0000026196091682213764","0.0000026196091682213764","0.0000026424247010510227","0.0000026424247010510227","0.0000026424247010510227","0.000002638996699580559","0.000002638996699580559","0.000002638996699580559","0.000004153008656804754","0.000004153008656804754","0.000004153008656804754","0.0000024424253340290785","0.0000024424253340290785","0.0000024424253340290785","0.000003930337879260649","0.000003930337879260649","0.000003930337879260649","0.000002604068338092485","0.000002604068338092485","0.000002604068338092485"
"5","0.0000025452762958547635","0.0000025452762958547635","0.0000025452762958547635","0.0000025426546150941533","0.0000025426546150941533","0.0000025426546150941533","0.0000025564554646118854","0.0000025564554646118854","0.0000025564554646118854","0.000003985048105252611","0.000003985048105252611","0.000003985048105252611","0.000002409603401803435","0.000002409603401803435","0.000002409603401803435","0.0000037304614254805657","0.0000037304614254805657","0.0000037304614254805657","0.000002453548740200393","0.000002453548740200393","0.000002453548740200393"
"6","0.0000024820547757140728","0.0000024820547757140728","0.0000024820547757140728","0.0000025363042577566086","0.0000025363042577566086","0.0000025363042577566086","0.0000024657774133445437","0.0000024657774133445437","0.0000024657774133445437","0.0000042770671681065775","0.0000042770671681065775","0.0000042770671681065775","0.000002284072597078402","0.000002284072597078402","0.000002284072597078402","0.0000035113240615387393","0.0000035113240615387393","0.0000035113240615387393","0.0000023813385554606455","0.0000023813385554606455","0.0000023813385554606455"
"7","0.000002467709940741448","0.000002467709940741448","0.000002467709940741448","0.000002497372399103592","0.000002497372399103592","0.000002497372399103592","0.000002475008861758213","0.000002475008861758213","0.000002475008861758213","0.0000035529918481800358","0.0000035529918481800358","0.0000035529918481800358","0.000002232254548085349","0.000002232254548085349","0.000002232254548085349","0.000003540353391990932","0.000003540353391990932","0.000003540353391990932","0.000002367004177986237","0.000002367004177986237","0.000002367004177986237"
"8","0.0000024906786054832373","0.0000024906786054832373","0.0000024906786054832373","0.0000024951541911664384","0.0000024951541911664384","0.0000024951541911664384","0.0000024694617678374197","0.0000024694617678374197","0.0000024694617678374197","0.00000384626761171314","0.00000384626761171314","0.00000384626761171314","0.0000022477953524101223","0.0000022477953524101223","0.0000022477953524101223","0.00000328338612470485","0.00000328338612470485","0.00000328338612470485","0.000002326977910484481","0.000002326977910484481","0.000002326977910484481"
"9","0.000002471825620546177","0.000002471825620546177","0.000002471825620546177","0.0000024774962571855937","0.0000024774962571855937","0.0000024774962571855937","0.0000023721407649113615","0.0000023721407649113615","0.0000023721407649113615","0.000003641678801537535","0.000003641678801537535","0.000003641678801537535","0.0000023157678730101963","0.0000023157678730101963","0.0000023157678730101963","0.000003318739809371234","0.000003318739809371234","0.000003318739809371234","0.000002334267720204674","0.000002334267720204674","0.000002334267720204674"
